Чи обрали б ви КПІ знову?,Чи працюєте ви за спеціальністю?,Чи працювали ви під час навчання?,Рік закінчення КПІ,"Найвищий рівень освіти, що ви отримали в КПІ","Факультет КПІ, на якому ви навчалися","Чи стикалися ви з ситуацією, коли наявність диплому була вирішальною для отримання роботи?","Чи подобається вам галузь, в якій ви працюєте?",faculty_id,Який найвищий рівень освіти ви б порадили собі отримати?,"Кафедра, на якій ви навчалися"
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,ПЗКС
Навчатися в іншому ВНЗ,Так,"Так, за спеціальністю",2014,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,ПЗКС
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, за спеціальністю",2012,Кандидатський чи докторський ступінь,18,Ні,Так,18,Магістр або спеціаліст,КЕОА
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,КВ 33м
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,КП-31м
"Навчатися там, де я навчався",Так,Ні,2016,Магістр або спеціаліст,23,"Інша ситуація, наявність диплому була важливою",Так,23,Магістр або спеціаліст,ПЗКС
"Навчатися там, де я навчався",Так,Ні,2013,"Вчився в КПІ, але не закінчив навчання",23,Ні,Так,23,Не закінчував би КПІ,кп-91
"Навчатися в КПІ, але за іншим напрямом","Ні, працюю в іншій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,СКС
Навчатися в іншому ВНЗ,"Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2006,"Вчився в КПІ, але не закінчив навчання",18,Ні,Так,18,Не закінчував би КПІ,ДК-31
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,2,Ні,Так,2,Магістр або спеціаліст,ММСА
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2010,Магістр або спеціаліст,2,Моєю перевагою була наявність диплому,Так,2,Магістр або спеціаліст,ММСА
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,23,Ні,Так,23,Бакалавр,ПЗКС
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,7,Ні,Так,7,Бакалавр,ФІ
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі",Ні,2011,Магістр або спеціаліст,23,"Інша ситуація, наявність диплому була важливою",Так,23,Магістр або спеціаліст,КВ-53
"Навчатися в КПІ, але за іншим напрямом","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2015,Магістр або спеціаліст,19,Ні,Так,19,Магістр або спеціаліст,ІК-32с
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2009,Магістр або спеціаліст,2,"Інша ситуація, наявність диплому була важливою",Так,2,Кандидатський чи докторський ступінь,КА-32
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,23,Моєю перевагою була наявність диплому,Так,23,Магістр або спеціаліст,"Прикладної математики, КМ-41с"
"Навчатися в КПІ, але за іншим напрямом",Так,"Так, не за спеціальністю",2016,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,КМ
Навчатися в іншому ВНЗ,"Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,23,Ні,Так,23,Не закінчував би КПІ,КВ-43с
"Навчатися там, де я навчався",Так,Ні,2015,Магістр або спеціаліст,15,Моєю перевагою була наявність диплому,Так,15,Магістр або спеціаліст,"Біомедична кібернетика, БС-32м"
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",None,Бакалавр,23,Ні,Так,23,Бакалавр,КМ-43
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі",Ні,2008,Магістр або спеціаліст,18,Ні,Так,18,Кандидатський чи докторський ступінь,"ФИБМЕ, ДМ-22"
"Навчатися там, де я навчався","Ні, але працюю в тій самій галузі","Так, не за спеціальністю",2016,Магістр або спеціаліст,23,"Не надіслав резюме через те, що не мав диплому",Так,23,Магістр або спеціаліст,КМ-41м
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2011,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,СКС
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2015,Магістр або спеціаліст,19,Ні,Так,19,Кандидатський чи докторський ступінь,
"Навчатися там, де я навчався",Так,"Так, за спеціальністю",2016,Магістр або спеціаліст,23,Ні,Так,23,Магістр або спеціаліст,км-41с
