На якому факультеті КПІ ви викладаєте?,На скількох факультетах ви викладаєте на постійній основі?,Які дисципліни ви викладаєте?,Кількість ваших пар на тиждень в попередньому семестрі,Чи працюєте ви ще десь крім викладання в КПІ? (неоплачувана робота теж рахується),"Чи задоволені ви навчальними планами та іншими рекомендаціями від Міністерства освіти для дисциплін, які викладаєте?","Чи влаштовує вас рівень бюрократії, з яким ви стикаєтеся під час роботи?",Що ваші студенти хочуть отримати від навчання?,"Кількість дисциплін, які ви викладали в попередньому семестрі",faculty_id,"Чи забезпечує вас кафедра (факультет), де ви працюєте, всім необхідним для роботи? ",Чи влаштовує вас рівень наукової діяльності в межах КПІ?,На якій кафедрі ви працюєте?,Як часто ви готуєтеся до проведення навчальних занять?,Чи задоволені ви роботою в КПІ?,"Як ви підвищуєте знання з дисциплін, які викладаєте?",Чи задоволені ви спілкуванням зі своїми студентами?,Скільки років ви викладаєте?
2,1,базові дисципліни молодших курсів,до 4,"Так, це має відношення до дисциплін, які я викладаю",Складно відповісти,Складно відповісти,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,2,Повністю забезпечує,Влаштовує,ММСА,Часто,Складно відповісти,Працюю в цій галузі,Задоволений,5
23,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Задоволений,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",1,23,Частково забезпечує,Складно відповісти,Пзкс,Часто,Задоволений,"Працюю в цій галузі, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Читаю фахові видання",Задоволений,13
23,1,спеціальні дисципліни,до 4,"Так, це має відношення до дисциплін, які я викладаю",Задоволений,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",1,23,Частково забезпечує,Складно відповісти,Пзкс,Часто,Задоволений,"Працюю в цій галузі, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Читаю фахові видання",Задоволений,13
4,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 4,"Так, це має відношення до дисциплін, які я викладаю",Не задоволений,Повністю не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",2-3,4,Частково забезпечує,Повністю не влаштовує,кафедра Графіки,Завжди,Складно відповісти,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Доповідаю на семінарах, тренінгах та онлайн-курсах, Читаю фахові видання",Задоволений,7
23,1,базові дисципліни молодших курсів,до 7,"Так, але це не має відношення до дисциплін, які я викладаю",Складно відповісти,Повністю не влаштовує,знання для використання на роботі,1,23,Частково забезпечує,Складно відповісти,ПЗКС,Часто,Задоволений,"Працюю в цій галузі, Читаю фахові видання",Повністю задоволений,1
19,1,базові дисципліни молодших курсів,до 7,"Так, але це не має відношення до дисциплін, які я викладаю",Не задоволений,Не влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань, відсрочку від армії, можливість жити в гуртожитку",2-3,19,Частково забезпечує,Повністю не влаштовує,АСОІУ,Завжди,Не задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Беру участь в семінарах, тренінгах та онлайн-курсах як слухач, Читаю фахові видання",Задоволений,7
23,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 13,"Так, але це не має відношення до дисциплін, які я викладаю",Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",4-5,23,Частково забезпечує,Не влаштовує,ПМА,Часто,Складно відповісти,"Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,18
2,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 7,Ні,Задоволений,Влаштовує,"знання для того, щоб займатися наукою, знання для використання на роботі, диплом - формальне підтвердження знань",2-3,2,Частково забезпечує,Влаштовує,ММСА,Завжди,Задоволений,"Працюю в цій галузі, Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали, Читаю фахові видання",Задоволений,17
4,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 4,Ні,Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",1,4,Повністю забезпечує,Складно відповісти,ТПВ,Завжди,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,9
4,1,"базові дисципліни молодших курсів, спеціальні дисципліни",до 4,Ні,Складно відповісти,Не влаштовує,"знання для використання на роботі, диплом - формальне підтвердження знань",1,4,Повністю забезпечує,Складно відповісти,ТПВ,Завжди,Задоволений,"Займаюся позакласною роботою з колегами та/або студентами, Пишу статі та інші матеріали, Читаю фахові видання",Повністю задоволений,9
