,Timestamp,"Кафедра, на якій ви навчалися",Рік закінчення КПІ,"Найвищий рівень освіти, що ви отримали в КПІ",Чи обрали б ви КПІ знову?,Який найвищий рівень освіти ви б порадили собі отримати,Чому ви б зробили саме такий вибір?,Що ви хотіли отримати від навчання?,Чи влаштовує вас рівень наукової діяльності в КПІ?,Чи забезпечував вас університет всім необхідним для навчання?,Чи задоволені ви спілкуванням зі своїми викладачами?,Які дисципліни виявилися для вас найбільш корисними? Чому?,Ви задоволені практикою?,Практика відповідала спеціальності?,Проходили практику на підприємстві чи на кафедрі?,Ви дійсно проходили практику чи просто написали звіт?,Чи була практика корисною для вас?,Що б ви змінили в практиці?,Коли ви почали працювати?,На якому курсі ви почали працювати?,Ви одразу працювали за спеціальністю?,"Чи подобається вам галузь, в якій ви працюєте?",Чи працюєте ви за спеціальністю?,В якій компанії ви працюєте?,Галузь компанії,Кількість працівників,На якій посаді ви працюєте?,"Чи достатньо знань та навичок, отриманих в університеті, щоб знайти роботу?","Чи були актуальними знання, отримані в університеті, на момент закінчення?",Чи вважаєте ви перспективною отриману спеціальність?,"Чи стикалися ви з ситуацією, коли наявність диплому була вирішальною для отримання роботи?",Наявність якого диплому була важливою?,"Передайте привіт студентам, випускникам та викладачам КПІ",Що б ви змінили в цьому опитуванні?
0,2017/02/27 6:46:11 AM GMT+3,Пма,2016,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,Знання для використання на роботі,"Мені байдуже, не цікавлюся науковою діяльністю",Важко відповісти,"Чимось задоволений, чимось ні",,Повністю задоволений,Так,"На підприємстві, знайшов університет","Не проходив практику, в кінці написав звіт",Ні,Нічого,Одразу після закінчення університету,6.0,Так,Так,,,IT,81-200,,"Так, перед співбесідою лише повторив пройдене в університеті","Так, працював саме з тим, що вивчав в університеті","Так, потреба в спеціалістах зростає","Наявність диплому була перевагою, але не вирішальною",Диплому магістра,,
1,2017/02/27 7:44:01 AM GMT+3,yrry,1999,"Вчився в КПІ, але не закінчив навчання",Важко відповісти,Важко відповісти,,,Важко відповісти,Важко відповісти,Важко відповісти,,Важко відповісти,Ні,"На кафедрі, не писав диплом","На практиці писав диплом, як звіт здав розділ диплому",Важко відповісти,,Досі не працюю,6.0,Ні,Важко відповісти,Не працюю,,Адміністрація,21-80,,"Так, але краще займатися додатково, щоб отримати більше можливостей","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому спеціаліста,,
2,2017/02/27 9:25:35 AM GMT+3,РТПС,2016,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Бакалавр,"Престижный вуз, рекомендации родителей",знання для використання на роботі;диплом - формальне підтвердження знань;відстрочку від армії,"Щось влаштовує, щось ні",Частково забезпечував,Повністю задоволений,Все что связанно с кодом - по тому что занимаюсь программированием,,Ні,"На кафедрі, писав диплом","На практиці писав диплом, як звіт здав розділ диплому",Ні,"Она не нужна в той форме, какой она есть сейчас",Під час навчання,5.0,Ні,Так,"Ні, працюю в іншій галузі",Infounion,IT,До 20,Разработчик веб-приложений,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Ні, вже зараз майже неможливо знайти роботу",Ні,,"Бегите, глупцы!",---
3,2017/02/27 9:28:55 AM GMT+3,АСОИУ,2016,Бакалавр,"Навчатися там, де я навчався",Важко відповісти,Люди хорошие.,знання для використання на роботі,Повністю не влаштовує,Частково забезпечував,,,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,,Під час навчання,3.0,Так,Важко відповісти,Так,,IT,21-80,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, потреба в спеціалістах зростає",Ні,,,
4,2017/02/27 9:41:49 AM GMT+3,менеджменту,2017,Магістр або спеціаліст,"Навчатися в КПІ, але за іншим напрямом",Магістр або спеціаліст,,знання для використання на роботі;диплом - формальне підтвердження знань,"Щось влаштовує, щось ні",Частково забезпечував,"Чимось задоволений, чимось ні",,,Ні,"На підприємстві, знайшов сам","На практиці писав диплом, як звіт здав розділ диплому",Ні,,Під час навчання,4.0,Ні,Важко відповісти,Не працюю,,,,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому бакалавра,,
5,2017/02/27 10:07:56 AM GMT+3,ФТЗЗІ,2015,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,...всі інші ВУЗи відстій.,знання для використання на роботі,Скоріше влаштовує,Повністю забезпечував,Повністю задоволений,Для загального розвитку - все було корисним. Працюю не по спеціальності,"Чимось задоволений, чимось ні",Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,,Одразу після закінчення університету,,Ні,Так,"Ні, працюю в іншій галузі","ТОВ ""ВБК ""Софія""",IT,201-800,Адміністратор системи та фахівець по рекламі в інтернеті,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, такі спеціалісти завжди будуть потрібні","Наявність диплому була перевагою, але не вирішальною",Диплому магістра,,
6,2017/02/27 10:19:41 AM GMT+3,СПСКС,2016,Магістр або спеціаліст,Навчатися в іншому ВНЗ,Магістр або спеціаліст,,,Скоріше не влаштовує,Частково забезпечував,Скоріше задоволений,,,Ні,"На кафедрі, не писав диплом",Дійсно проходив практику,Ні,,Під час навчання,4.0,Так,Так,Так,,IT,Більше 800,,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,,
7,2017/02/27 10:22:59 AM GMT+3,СТЗЗИ,2015,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,,знання для використання на роботі;можливість жити в гуртожитку,Скоріше не влаштовує,Частково забезпечував,Повністю задоволений,,"Чимось задоволений, чимось ні",Ні,"На кафедрі, писав диплом","Не проходив практику, в кінці написав звіт",Ні,,Під час навчання,4.0,Ні,Так,"Ні, працюю в іншій галузі",,IT,201-800,,"Так, але краще займатися додатково, щоб отримати більше можливостей","Ні, зараз немає роботи, де можна було б їх використати","Ні, потреба в спеціалістах зменшується",Ні,,,
8,2017/02/27 10:25:02 AM GMT+3,Системи прийняття рішень,2011,Магістр або спеціаліст,"Навчатися там, де я навчався",Магістр або спеціаліст,КПІ найкращій технічний вуз країни.,знання для використання на роботі,Скоріше не влаштовує,Частково забезпечував,"Чимось задоволений, чимось ні","Мат аналіз, дискретна математики, теорія вірогідності.","Чимось задоволений, чимось ні",Ні,"На підприємстві, знайшов університет",Дійсно проходив практику,Важко відповісти,Потрібно розробити системний підхід для проходження практики в рамках кожного факультету та кафедри.,Під час навчання,5.0,Так,Так,Так,,IT,Більше 800,Інженер з якості програмного забезпечення,"Ні, все, що треба для роботи, довелося вивчати самостійно","Скоріше ні, але теоретична база актуальна","Так, такі спеціалісти завжди будуть потрібні",Ні,,На мою думку робота викладача має стати високооплачуваною та престижною. Тільки кращі з найкращих потрібні нашій освіті. Потрібні нові люди з сучасним розумінням і баченням освіти.,Спрямувати фокус на зміни до кращого.
9,2017/02/27 10:28:42 AM GMT+3,Біомедична інженерія,2016,Магістр або спеціаліст,"Навчатися там, де я навчався",Кандидатський чи докторський ступінь,Тому що саме цей напрямок освіти був на момент мого вступу найширшим чином представленний в КПІ,"знання для того, щоб займатися наукою;знання для використання на роботі","Щось влаштовує, щось ні",Частково забезпечував,Скоріше задоволений,"Біотехнології - дали можливість розширити практичний досвід
Нанотехнології - знайомство із сучасними здобутками
Біофізика - фундамент теоретичних знань медичної техніки
Основні предмети 1-2 курсу - розвиток особистості
Оптика - прикладні знання","Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Так,Розширити базу приладів для практики і вільного доступу до неї,Під час навчання,6.0,Так,Так,Так,"ТОВ ""Клініко-терапевтичний інститут""",Медицина,До 20,інженер-дослідник,"Не зовсім, але знання, отримані в університеті дуже допомогли","Скоріше так, але довелося вивчити деякі нові технології","Так, потреба в спеціалістах зростає","Наявність диплому була перевагою, але не вирішальною",Диплому магістра,"Хочу порадити студентам, випусникам та викладачам не зупинятися на здобутому, не боятися ділитися і втілювати власні мрії в реальність нашого з вами життя.","Можна додати селекти на кафедри, хоча їх склад та назва чатсо змінюється, і можливо Ваше рішення про вписання все ж більш доречне.
Стосовно практики - зазвичай під час навчання проходять 2 практики, і перша виробнича на 3му курсі частіше не пов'язана з дипломом, а орієнтована на здобуття практичних навичок, тому можна уточнити в розділі питань практики, що це стосується дипломної практики і тп."
