,Отметка времени,Чому ви обрали саме КПІ?,Чи відповідає дійсність очікуванням,Ви одразу вступили до КПІ чи перевилися з іншого ВНЗ?,На якому курсі це відбулося?,Що ви хочете отримати від навчання?,Чи обрали б ви КПІ знову?,Чи задоволені ви спілкуванням з іншими студентами?,Чи задоволені ви спілкуванням зі своїми викладачами?,Чи влаштовує вас рівень наукової діяльності в КПІ?,Чи забезпечує вас університет всім необхідним для навчання?,Чого саме не вистачає?,У вас була виробнича/переддипломна практика,Ви задоволені практикою?,Практика відповідала спеціальності?,Проходили практику на підприємстві чи на кафедрі?,Ви дійсно проходили практику чи просто написали звіт?,Чи була практика корисною для вас?,Що б ви змінили в практиці?,Чи плануєте ви працювати за спеціальністю?,Чи працюєте/працювали ви під час навчання?,На якому курсі ви почали працювати?,В якій компанії ви працюєте?,Галузь компанії:,Кількість працівників:,На якій посаді ви працюєте?,"Передайте привіт студентам, випускникам та викладачам КПІ",Щоб ви змінили в цьому опитуванні?
0,27.02.2017 0:29:01,,,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,Скоріше влаштовує,Частково забезпечує,,Ні,,,,,,,Так,Ні,,,,,,,
1,27.02.2017 0:31:07,Вся сімя навчалась в КПІ,ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,Скоріше не влаштовує,Не забезпечує,"ремонт корпусів, опалення",Так,"Чимось задоволений, чимось ні",Так,"На підприємстві, знайшов університет",Дійсно проходив практику,Ні,,Важко відповісти,"Так, не за спеціальністю",3.0,"НТО ""КПІ телеком""",Охорона,До 20,,,
2,27.02.2017 0:32:06,"Це бу омріяний мною ВНЗ,  я хотіла тут же навчатись, та і кращих варіантів для моєї спеціальності не було",Ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,Скоріше не влаштовує,Не забезпечує,"Технічного, наприклад, тмм, теор.мех, опір матеріалів",Ні,,,,,,,Так,Ні,,,,,,,
3,27.02.2017 0:37:27,,,Одразу вступив до КПІ,,Знання для використання на роботі,Навчатися в іншому ВНЗ,Скоріше задоволений,Скоріше задоволений,Скоріше не влаштовує,Не забезпечує,Лабораторного обладнання,Ні,,,,,,,Важко відповісти,Ні,,,,,,"Всім удачі! І пам'ятайте, що зараз ті роки, коли від життя треба брати все! Тому насолоджуйтесь кожним днем 😘",
4,27.02.2017 0:38:46,,Ні,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся","Чимось задоволений, чимось ні","Чимось задоволений, чимось ні",Скоріше не влаштовує,Не забезпечує,Сучасного,Так,Повністю задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Важко відповісти,Треба менше формальностей,Так,"Так, за спеціальністю",1.0,Олсом,IT,До 20,Розробник,,
5,27.02.2017 0:40:23,Найкраща альтернатива серед вищих навчальних закладів,"Ні. Ані організації, ані, на жаль, компетентності, я майже не побачила за 4 роки",Одразу вступив до КПІ,,Диплом - формальне підтвердження знань,Навчатися в іншому ВНЗ,Повністю задоволений,Скоріше незадоволений,Повністю не влаштовує,Не забезпечує,"Перші два-два з половиною курси для навчання необхідно було мати ноутбук і носити його щодня на пари. Звісно, альтернативи від факультету немає 
Ну і зараз актуальна тема - опалення.
Також завжди не вистачало місця для самопідготовки. І з минулого року в нашому корпусі (18) немає буфету, де можна поїсти. І геть немає місць, якихось лавочок, де можна було б сидіти на перервах, чи під час вікон, чекаючи наступних пар",Так,,Ні,"На підприємстві, знайшов сам","Не проходив практику, в кінці написав звіт",Ні,"Реальні умови майбутньої роботи, використання на практиці отриманих знань та навичок",Ні,"Так, не за спеціальністю",4.0,,IT,До 20,,,
6,27.02.2017 0:44:39,"Бо це найкращей технічний ВНЗ України зі своїми традиціями і легендами. Також в КПІ дружна студенська громада і дуже розвинені різні низові ініціативи і робочі простори, як Вежа (тепер і Білка, просто коли вступав її тільки починали робити)",Більша частина очікувань відповідає дійсності,Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися в КПІ, але за іншим напрямком",Повністю задоволений,Повністю задоволений,Скоріше влаштовує,Повністю забезпечує,,Ні,,,,,,,Так,"Так, не за спеціальністю",1.0,,Сфера обслуговування,До 20,Офіціант,"Живи, Люби, КПІ.",Чудове опитування
7,27.02.2017 0:53:24,"Топ ВНЗ країни, можливість навчатися в іншому місті",Ні,Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися в КПІ, але за іншим напрямком",Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,Опалення в аудиторіях,Ні,,,,,,,"Ні, але планую працювати в тій самій галузі",Ні,,,,,,"Дякую, адекватним викладачам, які йдуть на зустріч лінивим та байдикуватим студентам, та дають шанс закрити сессію своїми силами.",Нічого
8,27.02.2017 0:59:48,Провідний Український вуз,"Деякий матеріал застарілий, часто викладачі не мають практичного досвіду, або не діляться ним",Одразу вступив до КПІ,,Знання для використання на роботі,"Навчатися там, де я зараз навчаюся",Скоріше задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,Застаріли матеріально-технічна база. Більшість програмного забезпечення в комп'ютерних класах неліцензійне.,Так,Скоріше задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Так,"Так, за спеціальністю",3.0,Rovese,Консалтинг,21-80,Помічник product manager,,"Характеристики викладачів некоректні, варто додати варіанти"
9,27.02.2017 1:02:20,"Тому що тут хороші люди, я познайомився з багатьма цікавими студентами і деякими викладачами. А також в КПІ гарна архітектура, і навчальний кампус","Насправді я думав що буде і гірше, але у нас на факультеті деякі викладачі дуже добре знають свої предмети і намагаються якось розвиватись. Деякі ж навпаки, *****[все одно] було на предмет і на студентів.",Одразу вступив до КПІ,,"Знання для того, щоб займатися наукою","Навчатися там, де я зараз навчаюся",Повністю задоволений,Скоріше задоволений,"Щось влаштовує, щось ні",Частково забезпечує,"Іноді доводилось купувати зошити для кресленян, методичні вказівки і т.п.",Так,Повністю задоволений,Так,"На підприємстві, знайшов сам",Дійсно проходив практику,Так,,Так,"Так, за спеціальністю",4.0,,IT,До 20,Software Developer,Дякую за цікаве опитування :) Всім хороших викладачів і цікавих завдань.,"Зробіть будь ласка можливість повернутись до попереднього питання, оскільки можливо помилково натиснути а виправити не можна, UX не врахували трохи)"
